Original Filename,Suggested New Filename
56FordRobinHoodand.mp3,56ford robinhood and.mp3
ABCBoogie.mp3,abc boogie.mp3
AboveAndBeyond.mp3,above and beyond.mp3
AHotRoddersDreamRayBurden.mp3,a hotrodders dream ray burden.mp3
AintGonnaWasteMyTimeWileyBarkdell.mp3,a int gonna waste my time wiley bark dell.mp3
AintGotAThingSonnyBurgess.mp3,a int got a thing sonny burgess.mp3
AintgotnohomeClarenceHenry.mp3,a int got no home clarence henry.mp3
AintImADog.mp3,a intima dog.mp3
AintNothinShakinEarlstonFord.mp3,a int nothin shakin earlston ford.mp3
AintThatLovingYouBabyHaydenThompson.mp3,a int that loving you baby hayden thompson.mp3
AlabamaShake.mp3,alabama shake.mp3
AllAmericanBoyBillParsons.mp3,all american boy bill parsons.mp3
AllAroundTheWorldBobbyOliver.mp3,all around the world bobby oliver.mp3
AllBecauseOfYouRockingMartin.mp3,all because of you rocking martin.mp3
AllByMyselfJohnnyBurnette.mp3,all by myself johnny burnette.mp3
AllForTheLoveOfAGirlJohnnyHorton.mp3,all for the love of a girl johnny horton.mp3
AllIHaveToDoIsDreamLiveEverlyBrothers.mp3,all i have to do is dream live everly brothers.mp3
AlltheTimeSleepyLeBeef.mp3,all the time sleepy le beef.mp3
AloneWithYouFaronYoung.mp3,alone with you far on young.mp3
Al_Urban__Wont_Tell_You_Her_Name.mp3,al urban wont tell you her name.mp3
AmIBlue.mp3,ami blue.mp3
AnywayWesleyHardin.mp3,anyway wesley hardin.mp3
ApacheAlCaiola.mp3,apache alca iola.mp3
AreYouReadyHenryWilson.mp3,are you ready henry wilson.mp3
AroundandAround.mp3,around and around.mp3
AtomBombGlennBarber.mp3,atom bomb glenn barber.mp3
Aubrey_Cagle__Come_Along_Little_Girl.mp3,aubrey cagle come along little girl.mp3
BabyBabyBabyJoeAllenNTheAlleyCats.mp3,baby baby baby joe all enn the alley cats.mp3
BabyBabyDollStanJohnson.mp3,baby babydoll stan johnson.mp3
BabyBabyMikeWaggoner.mp3,baby baby mike waggoner.mp3
BabyBlue.mp3,baby blue.mp3
BabyComeBacktoMeJohnnyRivers.mp3,baby come back to me johnny rivers.mp3
BabyDontGo_MarvinRainwater.mp3,baby dont go marvin rainwater.mp3
BabytakemebackRocLaRue.mp3,baby take me back roc larue.mp3
Baby_Please_Dont_GoTroyce_Key.mp3,baby please dont got royce key.mp3
BaconAndEggsLovettsisters.mp3,bacon and eggs lovett sisters.mp3
BadBadBoyBobbyLollar.mp3,bad bad boy bobby lollar.mp3
BallinKeenBobbyTerryCarawayTheRockats.mp3,ball in keen bobby terry caraway the rock ats.mp3
BallThatJackJosieKreuzer.mp3,ball that jack josie kreuzer.mp3
BambooStruttTheNationals.mp3,bamboo strutt the nationals.mp3
BangBangJMartin.mp3,bang bang j martin.mp3
BarbaraAnnTheRegents.mp3,barbara ann the regents.mp3
BarefootBabyJanisMartin.mp3,barefoot baby janis martin.mp3
BarkingUpTheWrongTreeDonWoody.mp3,barking up the wrong tree don woody.mp3
Barry_Darvell__A_King_For_Tonight.mp3,barry darvel la king for tonight.mp3
Barry_Martin__Minnie_The_Moocher.mp3,barry martin minnie the moocher.mp3
BeBabaLebaThurstonHarris.mp3,be baba le bathurst on harris.mp3
BeBopALulaGeneVincent.mp3,bebop alula gene vincent.mp3
BeBopALulaIsBackOnThe SceneJCarroll.mp3,bebop alula is back on the scene j carroll.mp3
BeBopBoogieBoy.mp3,bebop boogie boy.mp3
BeBoppinBabyJimmyRoby.mp3,be boppin baby jimmy roby.mp3
BelievewhatyousayRocky.mp3,believe what you say rocky.mp3
Benny_Ingram__How_Can_I_Keep_You_Loving_Me.mp3,benny ingram how can i keep you loving me.mp3
Bernie_Early__Your_Kisses_Kill_Me.mp3,bernie early your kisses kill me.mp3
BerthaLouCMiller.mp3,bertha lou c miller.mp3
BettyLouGotANewPairOfShoesBobbyFreeman.mp3,betty lou got a new pair of shoes bobby freeman.mp3
BIBickeyBiBoBoGoGeneVincent.mp3,bibickeybibobogogene vincent.mp3
BigBerrybyBigDaddy.mp3,big berry by bigdaddy.mp3
BigBlonBabyJerryLeeLewis.mp3,big blon baby jerry lee lewis.mp3
Bigelow6200BrendaLee.mp3,bigelow 6200brendalee.mp3
BigFoolRomanSelf.mp3,big fool roman self.mp3
BiggerThanTexasTommySands.mp3,bigger than texas tommy sands.mp3
BigGreenCarBillyCarroll.mp3,big green car billy carroll.mp3
BigGuitarOwenBradleyQuintet.mp3,big guitar owen bradley quintet.mp3
BigMidnightSpecialJoanArmstrong.mp3,big midnight special joan armstrong.mp3
BigRiverAltRitchie.mp3,big river alt ritchie.mp3
BigSandyBobbyRoberts.mp3,big sandy bobby roberts.mp3
Billy_Adams_You_Gotta_Have_A_Ducktail.mp3,billy adams you gotta have a duck tail.mp3
Bill_Beach__Youre_Gonna_Like_Me_Baby.mp3,bill beach your e gonna like me baby.mp3
BipALittleBopALotJoePenny.mp3,bip a little bop a lot joe penny.mp3
BipBopBoomMickeyHawks.mp3,bip bop boom mickey hawks.mp3
BirdDogDonWoody.mp3,birddog don woody.mp3
BitterFeelingsLarryLeePhillipson.mp3,bitter feelings larry lee phillipson.mp3
BlackCadillacJoyceGreen.mp3,black cadillac joyce green.mp3
BlackJackDavidWarrenSmith.mp3,blackjack david warren smith.mp3
BlackSlacks.mp3,black slacks.mp3
BlackTrainRudyThacker.mp3,black train rudy thacker.mp3
BlueberryHillFatsDomino.mp3,blueberry hill fats domino.mp3
BluebirdsOverTheMountainErselHickey.mp3,bluebirds over the mountain ers el hickey.mp3
BlueDaysBlackNightsBuddyHolly.mp3,blue days black nights buddy holly.mp3
BluesAroundMyDoorCecilBowman.mp3,blues around my door cecil bowman.mp3
BluesStayAwayFromMeDelmoreBrothers.mp3,blues stay away from me del more brothers.mp3
BlueSuedeShoesDelbertBarker.mp3,blue suede shoes delbert barker.mp3
Bobby_Crown__Thirty_Days.mp3,bobby crown thirty days.mp3
Bobby_Freeman__I_Do_the_Shimmy_Shimmy.mp3,bobby freeman i do the shimmy shimmy.mp3
Bobby_Lawson__Baby_Dont_Be_That_Way.mp3,bobby lawson baby dont be that way.mp3
BobLumanGuitarPicker.mp3,bob luman guitar picker.mp3
BoDiddleyBuddyHolly.mp3,bo diddley buddy holly.mp3
BonyMoronieLWilliams.mp3,bony moroni el williams.mp3
BoogieOogieLarryDarnell.mp3,boogie oogie larry darnell.mp3
BoogieWoogieCountryGirlNAStephensonNtheFourKings.mp3,boogie woogie country girl na stephenson n the four kings.mp3
BopADeeBopADooHalWillis.mp3,bopadeebopadoohal willis.mp3
BopALena.mp3,bop alena.mp3
BoppinGuitarRayMelton.mp3,boppin guitar ray melton.mp3
BoppinHiSchoolBabyDonWillis.mp3,boppin hi school baby don willis.mp3
BoppintheBluesStanPerkins.mp3,boppin the blues stan perkins.mp3
BoptoBeBillySwan.mp3,bop to be billy swan.mp3
Bop_BoyBill_Hayes.mp3,bop boy bill hayes.mp3
BornToLoveOneWomanRicCartey.mp3,born to love one woman riccar tey.mp3
BreakUpCharlieRich.mp3,break up charlie rich.mp3
BrownEyedHandsomeManJerJaye.mp3,brown eyed handsome man jer jaye.mp3
butterfly2.mp3,butterfly 2.mp3
ByeByeJohnnyMikeWaggoner.mp3,bye bye johnny mike waggoner.mp3
CallMeShortyMickeyGilley.mp3,call me shorty mickey gilley.mp3
Carl_Mann__Gonna_Rock_And_Roll_Tonight.mp3,carl mann gonna rock and roll tonight.mp3
CastIronArmPeanutsWilson.mp3,cast iron arm peanuts wilson.mp3
CatDaddyJimmyJohnson.mp3,cat daddy jimmy johnson.mp3
CathysClownJackNtheRippers.mp3,cathys clown jack n the rippers.mp3
CatsRhythmFoggyMtnRockers.mp3,cats rhythm foggy mtn rockers.mp3
CatTalkLewWilliams.mp3,cat talk lew williams.mp3
CCRiderCHhuckWillis.mp3,cc rider ch huck willis.mp3
Cecil_Campbell__The_Rock__Roll_Fever.mp3,cecil campbell the rock roll fever.mp3
ChantillyLaceTheBigBopper.mp3,chantilly lace the big bopper.mp3
CHARLINE_ARTHUR__BURN_THAT_CANDLE.mp3,charline arthur burn that candle.mp3
Charlotte_Harden__Alone_With_You.mp3,charlotte harden alone with you.mp3
CheatOnMeBabyRockinSaints.mp3,cheat on me baby rockin saints.mp3
CherokeeBoogieMoonMullican.mp3,cherokee boogie moon mullican.mp3
ChewTobaccoRagJimPipkinsNTheTallTimberBoys.mp3,chew tobacco rag jim pipkin sn the tall timber boys.mp3
Chuck_Bene__I_Want_My_Mama.mp3,chuck bene i want my mama.mp3
Chuck_Bene__Rock_n_Roll_No_More.mp3,chuck bene rocknroll no more.mp3
Chuck_Willis_I_Feel_So_Bad.mp3,chuck willis i feel so bad.mp3
CincinnatiFireballMervBenton.mp3,cincinnati fireball merv benton.mp3
CityBillyJeffersonRamblinManCounty.mp3,city billy jefferson ramblin man county.mp3
ClaudetteEBros.mp3,claudette e bros.mp3
ClickClackBoydBennettNtheRockets.mp3,click clack boyd bennett n the rockets.mp3
CmonEverybody.mp3,cm on everybody.mp3
CocaineBluesRoyHogsed.mp3,cocaine blues roy hogs ed.mp3
Colin_Cook__Hey_Pretty_Baby.mp3,colin cook hey pretty baby.mp3
ComeBackBabyChuckBene.mp3,come back baby chuck bene.mp3
ComeHomeDuaneGray.mp3,come home duane gray.mp3
ComeOnHomeHaroldJenkinsConwayTwitty.mp3,come on home harold jenkins conway twitty.mp3
ComeOnLittleBabyRay_Harris.mp3,come on little baby ray harris.mp3
Come_On_Over__Penny_Candy.mp3,come on over penny candy.mp3
CoolCoolBabyLafayetteYarborough.mp3,cool cool baby lafayette yarborough.mp3
CottonFieldsSpeedos.mp3,cotton fields speedos.mp3
CottonPickinMickyHawks.mp3,cotton pickin micky hawks.mp3
CrackinUpBoDiddley.mp3,crackin up bo diddley.mp3
CradleofLoveJohnnyPreston.mp3,cradle of love johnny preston.mp3
CrawdadSongRedMoore.mp3,crawdad song red moore.mp3
CrazyBabyGeneMaltais.mp3,crazy baby gene malta is.mp3
CrazyLegs.mp3,crazy legs.mp3
CrazyLoveDickGlasser.mp3,crazy love dick glasser.mp3
CrazyShoes.mp3,crazy shoes.mp3
CumberlandGapLonnieDonegan.mp3,cumberland gap lonnie donegan.mp3
CutAcrossShorty.mp3,cut across shorty.mp3
CuttinOutRockinRonald.mp3,cuttin out rockin ronald.mp3
DaddioDixiedoodleLinkWray.mp3,daddio dixie doodle link wray.mp3
DanceFrannyDanceFloydDakil.mp3,dance franny dance floyd dak il.mp3
DanceTheBopJDM.mp3,dance the bop jdm.mp3
DancetotheBopStanPerkins.mp3,dance to the bop stan perkins.mp3
DancingDoll.mp3,dancing doll.mp3
Danny_Wolfe__Lets_Flat_Get_It.mp3,danny wolfe lets flat get it.mp3
DearOneLarryFinnegan.mp3,dear one larry finnegan.mp3
DidiDidiJohnnyGarner.mp3,did i did i johnny garner.mp3
DinahLeeVerTaylor.mp3,dinah le ever taylor.mp3
DingDongRockabillyWeddingLibbyDean.mp3,ding dong rockabilly wedding libby dean.mp3
DireNeedSonnyWest.mp3,dire need sonny west.mp3
DirtyDishesJeaniMack.mp3,dirty dishes jean i mack.mp3
DirtyRobberWailers.mp3,dirty robber wailers.mp3
DixieFriedCarlPerkins.mp3,dixie fried carl perkins.mp3
DizzyMissLizzyRHawkins.mp3,dizzy miss lizzy r hawkins.mp3
DoctorDoctorDoctorJoeyNepote.mp3,doctor doctor doctor joey ne pote.mp3
Don'tRollThoseBloodshotEyesAtMeWynonieHarris.mp3,dont roll those bloodshot eyes at me wy nonie harris.mp3
DoneGoneRayCondo.mp3,done gone ray condo.mp3
DontBeCruelBillBlacksCombo.mp3,dont be cruel bill blacks combo.mp3
DontBugMeBabyMiltonAllen.mp3,dont bug me baby milton allen.mp3
DontFeelSorryForMeJimmyBeasley.mp3,dont feel sorry for me jimmy beasley.mp3
DontLetGoOriginalRoyHamilton.mp3,dont let go original roy hamilton.mp3
DontMeanMaybeBabyAlvis Wayne.mp3,dont mean may be baby alvis wayne.mp3
DontSweepThatDirtonMeBuddyShaw.mp3,dont sweep that dirt on me buddy shaw.mp3
DontWakeUpTheKidsFourDots.mp3,dont wake up the kids four dots.mp3
DontYouHearMeCallingBabyRonnieHaig.mp3,dont you hear me calling baby ronnie haig.mp3
DontYouKnowTheNationals.mp3,dont you know the nationals.mp3
Dont_Lie_To_MeDean_Beard.mp3,dont lie to me dean beard.mp3
DoWhatIDoSlimRhodes.mp3,do what i do slim rhodes.mp3
DownontheFarmAlDowning.mp3,down on the farm al downing.mp3
DownToTheBottom.mp3,down to the bottom.mp3
DreamBabyRoyOrbison.mp3,dream baby roy orbison.mp3
DreamLoverRickyNelson.mp3,dreamlover ricky nelson.mp3
DrinkinWineSpoDeeODeeMalcolmYelvington.mp3,drink in wines pod eeo dee malcolm yelvington.mp3
DriveInMackVickery.mp3,drive in mack vickery.mp3
DrivingMyLifeAwaySonnyFisher.mp3,driving my life away sonny fisher.mp3
DrugstoreRockAndRollJanisMartin.mp3,drug store rock and roll janis martin.mp3
DrummerBoyRockGeneWatson.mp3,drummer boy rock gene watson.mp3
DryRunParkerCummingham.mp3,dry run parker cumming ham.mp3
DucktailJoeClay.mp3,duck tail joe clay.mp3
Earlston_Ford_Wings_To_Fly.mp3,earlston ford wings to fly.mp3
EarlyMorningRockTheDeltones.mp3,early morning rock the del tones.mp3
EatYourHeartOutAnnieJodimars.mp3,eat your heart out annie jodi mars.mp3
EddieMyLoveTheTeenQueens.mp3,eddie my love the teen queens.mp3
EDDIE_BOND_BOPPIN_BONNIE.mp3,eddie bond boppin bonnie.mp3
Eddie_Bond__Flip_Flop_Mama.mp3,eddie bond flip flop mama.mp3
EDDIE_FONTAINE_Cool_It_Baby.mp3,eddie fontaine cool it baby.mp3
EightThirtyBluesRMaddox.mp3,eight thirty blues r maddox.mp3
Eldon_Rice__Hillbilly_Swampman.mp3,eldon rice hillbilly swamp man.mp3
EndlessSleepJodyReynolds.mp3,endless sleep jody reynolds.mp3
EnieMeanieMinieMoHoytJohnson.mp3,enie meanie mini emo hoyt johnson.mp3
Ernie_Chaffin__Im_Lonesome.mp3,ernie chaffin im lonesome.mp3
Everett_Carpenter__Run_Run_Mabel.mp3,everett carpenter run run mabel.mp3
EverlastingLoveBarbaraPittman.mp3,everlasting love barbara pittman.mp3
EverybodysMovingGlenGlenn.mp3,everybodys moving glen glenn.mp3
EverybodysRockinWerlyFairburn.mp3,everybodys rockin we rly fairburn.mp3
EverybodysTryingToBeMyBaby.mp3,everybodys trying to be my baby.mp3
EveryWomanIKnowLikesAnAutomobileAlVance.mp3,every woman i know likes an automobile al vance.mp3
FabulousCharlieGracie_.mp3,fabulous charlie gracie.mp3
FairlaneRock.mp3,fairlane rock.mp3
FallingInLoveWarnerMack.mp3,falling in love warner mack.mp3
FarewellSoLongGoodbyeBHaley.mp3,farewell so long goodbye b haley.mp3
FastFreightRitchieValens.mp3,fast freight ritchie valens.mp3
FeelingRightTonightMarthaHall.mp3,feeling right tonight martha hall.mp3
FeelinLowErnieChaffin.mp3,feelin low ernie chaffin.mp3
FeelSoFineJohnnyPreston.mp3,feel so fine johnny preston.mp3
FingerPoppinTimeHankBallardandTheMidnighters.mp3,finger poppin time hank ballard and the midnighters.mp3
FlameofLoveRomanSelf.mp3,flame of love roman self.mp3
FlatFootSamTVSlimNHisHeartbreakers.mp3,flatfoot sam tv slim n his heartbreakers.mp3
FleaBrainBobCenter_.mp3,flea brain bob center.mp3
FlipFlopAndFlyJackEarls.mp3,flip flop and fly jack earls.mp3
Floyd_LeeGo_Boy.mp3,floyd lee go boy.mp3
FollowTheRockTheBayBops.mp3,follow the rock the bay bops.mp3
FoolishThought1957NarvelFelts.mp3,foolish thought 1957narvelfelts.mp3
FoolsParadiseBuddyHolly.mp3,fools paradise buddy holly.mp3
FourOClockBabyDarrellRhodes.mp3,four oclock baby darrell rhodes.mp3
FramedRitchieValens.mp3,framed ritchie valens.mp3
FrankieandJohnnyJohnnyCash.mp3,frankie and johnny johnny cash.mp3
Freddie_Caddell__At_The_Rockhouse.mp3,freddie caddell at the rockhouse.mp3
FujiyamaMamaDebbieLynn.mp3,fujiyama mama debbie lynn.mp3
GamblinManMarivnRainwater.mp3,gamblin man mar ivn rainwater.mp3
GENE_MALTAIS_THE_RAGING_SEA.mp3,gene malta is the raging sea.mp3
Gene_Summers__Straight_Skirt.mp3,gene summers straight skirt.mp3
George_Fleming__The_Shake.mp3,george fleming the shake.mp3
George_Weston_Hold_Still_Baby.mp3,george weston hold still baby.mp3
GeronimoStompBarryDarvell.mp3,geronimo stomp barry darvel l.mp3
GetHotOrGoHomeJohnKerby.mp3,get hot or go home john kerby.mp3
GetRhythmLRich.mp3,get rhythm l rich.mp3
GettingBetterBobbyHardin.mp3,getting better bobby hardin.mp3
GetWhatImAfterPatCupp.mp3,get what im after pat cupp.mp3
Get_It_Off_Your_MindKenny_Parchman.mp3,get it off your mind kenny parchman.mp3
GiddyUpADingDongFB.mp3,giddy up a ding dong fb.mp3
GitItGeneVincent.mp3,git it gene vincent.mp3
GladAllOver.mp3,glad all over.mp3
GoateeJoeyWarren.mp3,goatee joey warren.mp3
GoGoGoBobbySisco.mp3,gogo go bobby sisco.mp3
GoGoGoNarvelFelts.mp3,gogo gon arvel felts.mp3
GoinCrazyMackSelf.mp3,go in crazy mack self.mp3
